English,Transcription,Русский
# ─────────── ФРАЗЫ · АЭРОПОРТ И ПЕРЕЛЁТ ───────────
Where is the check-in desk?,/weər ɪz ðə ˈtʃekɪn desk/,где стойка регистрации?
I'd like a window seat,/aɪd laɪk ə ˈwɪndəʊ siːt/,мне место у окна, пожалуйста
Here is my boarding pass,/hɪər ɪz maɪ ˈbɔːdɪŋ pɑːs/,вот мой посадочный
Is the flight on time?,/ɪz ðə flaɪt ɒn taɪm/,рейс по расписанию?
The flight is delayed,/ðə flaɪt ɪz dɪˈleɪd/,рейс задерживается
Which gate is it?,/wɪtʃ ɡeɪt ɪz ɪt/,какой выход на посадку?
I missed my flight,/aɪ mɪst maɪ flaɪt/,я опоздал(а) на рейс
Is this a carry-on?,/ɪz ðɪs ə ˈkæri ɒn/,это ручная кладь?
My suitcase is too heavy,/maɪ ˈsuːtkeɪs ɪz tuː ˈhevi/,мой чемодан слишком тяжёлый
Where is baggage claim?,/weər ɪz ˈbæɡɪdʒ kleɪm/,где выдача багажа?
My luggage didn't arrive,/maɪ ˈlʌɡɪdʒ ˈdɪdənt əˈraɪv/,мой багаж не прилетел
I have nothing to declare,/aɪ hæv ˈnʌθɪŋ tuː dɪˈkleə/,мне нечего декларировать
What's the purpose of your visit?,/wɒts ðə ˈpɜːpəs ɒv jɔː ˈvɪzɪt/,цель вашего визита?
I'm here on holiday,/aɪm hɪər ɒn ˈhɒlədeɪ/,я здесь в отпуске
I'm here on business,/aɪm hɪər ɒn ˈbɪznɪs/,я здесь по работе
Where can I get a taxi?,/weə kæn aɪ ɡet ə ˈtæksi/,где взять такси?
My connection is very tight,/maɪ kəˈnekʃən ɪz ˈveri taɪt/,у меня очень мало времени на пересадку
Boarding will begin soon,/ˈbɔːdɪŋ wɪl bɪˈɡɪn suːn/,скоро начнётся посадка
Please fasten your seatbelt,/pliːz ˈfɑːsən jɔː ˈsiːtbelt/,пристегните ремень, пожалуйста
I feel airsick,/aɪ fiːl ˈeəsɪk/,меня укачивает в самолёте
Where is passport control?,/weər ɪz ˈpɑːspɔːt kənˈtrəʊl/,где паспортный контроль?
Is there a shuttle to the city?,/ɪz ðeər ə ˈʃʌtəl tuː ðə ˈsɪti/,есть трансфер в город?
# ─────────── ФРАЗЫ · АРЕНДА ЖИЛЬЯ ───────────
I'm looking for a flat to rent,/aɪm ˈlʊkɪŋ fɔːr ə flæt tuː rent/,я ищу квартиру в аренду
How much is the rent?,/haʊ mʌtʃ ɪz ðə rent/,сколько стоит аренда?
