English,Transcription,Русский
# ─────────── ОМОФОНЫ (слова, звучащие одинаково) ───────────
see / sea,/siː/,видеть / море
be / bee,/biː/,быть / пчела
flour / flower,/ˈflaʊə/,мука / цветок
hour / our,/ˈaʊə/,час / наш
knight / night,/naɪt/,рыцарь / ночь
know / no,/nəʊ/,знать / нет
write / right,/raɪt/,писать / правильно
to / too / two,/tuː/,к / тоже / два
there / their / they're,/ðeə/,там / их / они есть
here / hear,/hɪə/,здесь / слышать
buy / by / bye,/baɪ/,покупать / у / пока
eye / I,/aɪ/,глаз / я
son / sun,/sʌn/,сын / солнце
one / won,/wʌn/,один / выиграл
meat / meet,/miːt/,мясо / встречать
week / weak,/wiːk/,неделя / слабый
blue / blew,/bluː/,синий / дул
red / read,/red/,красный / читал (прош.)
pair / pear,/peə/,пара / груша
bear / bare,/beə/,медведь / голый
break / brake,/breɪk/,ломать / тормоз
cell / sell,/sel/,клетка / продавать
mail / male,/meɪl/,почта / мужской
peace / piece,/piːs/,мир / кусок
plain / plane,/pleɪn/,простой / самолёт
tail / tale,/teɪl/,хвост / сказка
wood / would,/wʊd/,дерево / бы
nose / knows,/nəʊz/,нос / знает
flu / flew,/fluː/,грипп / летел
which / witch,/wɪtʃ/,который / ведьма
wait / weight,/weɪt/,ждать / вес
way / weigh,/weɪ/,путь / взвешивать
hi / high,/haɪ/,привет / высокий
hole / whole,/həʊl/,дыра / целый
hire / higher,/ˈhaɪə/,нанимать / выше
heal / heel,/hiːl/,исцелять / пятка
him / hymn,/hɪm/,его / гимн
hair / hare,/heə/,волосы / заяц
fair / fare,/feə/,честный / плата за проезд
for / four / fore,/fɔː/,для / четыре / передний
fort / fought,/fɔːt/,форт / дрался
great / grate,/ɡreɪt/,великий / тёрка
groan / grown,/ɡrəʊn/,стон / выросший
guessed / guest,/ɡest/,угадал / гость
heard / herd,/hɜːd/,слышал / стадо
knot / not,/nɒt/,узел / не
made / maid,/meɪd/,сделал / горничная
mane / main,/meɪn/,грива / главный
medal / meddle,/ˈmedəl/,медаль / вмешиваться
might / mite,/maɪt/,мощь / клещ
morning / mourning,/ˈmɔːnɪŋ/,утро / траур
none / nun,/nʌn/,никто / монахиня
oar / or / ore,/ɔː/,весло / или / руда
pale / pail,/peɪl/,бледный / ведро
pain / pane,/peɪn/,боль / оконное стекло
pause / paws,/pɔːz/,пауза / лапы
peak / peek,/piːk/,вершина / подглядывать
plum / plumb,/plʌm/,слива / отвес
pole / poll,/pəʊl/,столб / опрос
poor / pour / pore,/pɔː/,бедный / лить / пора (кожи)
pray / prey,/preɪ/,молиться / добыча
principal / principle,/ˈprɪnsəpəl/,директор / принцип
profit / prophet,/ˈprɒfɪt/,прибыль / пророк
rain / reign / rein,/reɪn/,дождь / царствование / поводья
raise / rays,/reɪz/,поднимать / лучи
rap / wrap,/ræp/,стук / заворачивать
real / reel,/rɪəl/,реальный / катушка
road / rode,/rəʊd/,дорога / ехал верхом
role / roll,/rəʊl/,роль / рулон
root / route,/ruːt/,корень / маршрут
sail / sale,/seɪl/,парус / распродажа
scene / seen,/siːn/,сцена / видел
seam / seem,/siːm/,шов / казаться
sew / so / sow,/səʊ/,шить / так / сеять
sight / site / cite,/saɪt/,зрение / место / цитировать
sole / soul,/səʊl/,подошва / душа
some / sum,/sʌm/,немного / сумма
stair / stare,/steə/,ступенька / пристально смотреть
stationary / stationery,/ˈsteɪʃənəri/,неподвижный / канцтовары
steal / steel,/stiːl/,красть / сталь
tacks / tax,/tæks/,гвоздики / налог
tea / tee,/tiː/,чай / ти (в гольфе)
team / teem,/tiːm/,команда / кишеть
threw / through,/θruː/,бросил / сквозь
tide / tied,/taɪd/,прилив / связанный
toe / tow,/təʊ/,палец ноги / буксировать
vain / vein / vane,/veɪn/,тщеславный / вена / флюгер
waist / waste,/weɪst/,талия / тратить
war / wore,/wɔː/,война / носил
warn / worn,/wɔːn/,предупреждать / изношенный
weather / whether,/ˈweðə/,погода / ли
wine / whine,/waɪn/,вино / нытьё
won't / wont,/wəʊnt/,не будет / привычка
wring / ring,/rɪŋ/,выжимать / кольцо
you / ewe,/juː/,ты / овца
yolk / yoke,/jəʊk/,желток / ярмо
allowed / aloud,/əˈlaʊd/,разрешённый / вслух
ate / eight,/eɪt/,ел / восемь
ball / bawl,/bɔːl/,мяч / реветь
band / banned,/bænd/,группа / запрещённый
based / baste,/beɪst/,основанный / поливать (жиром)
beach / beech,/biːtʃ/,пляж / бук
berry / bury,/ˈberi/,ягода / хоронить
board / bored,/bɔːd/,доска / скучающий
bold / bowled,/bəʊld/,смелый / катил мяч
born / borne,/bɔːn/,рождённый / несомый
bread / bred,/bred/,хлеб / выведенный
bridal / bridle,/ˈbraɪdəl/,свадебный / уздечка
cash / cache,/kæʃ/,наличные / тайник
ceiling / sealing,/ˈsiːlɪŋ/,потолок / запечатывание
cent / scent / sent,/sent/,цент / аромат / послал
cereal / serial,/ˈsɪəriəl/,хлопья / сериал
chews / choose,/tʃuːz/,жуёт / выбирать
chord / cord,/kɔːd/,аккорд / шнур
clause / claws,/klɔːz/,пункт / когти
coarse / course,/kɔːs/,грубый / курс
complement / compliment,/ˈkɒmplɪmənt/,дополнение / комплимент
council / counsel,/ˈkaʊnsəl/,совет (орган) / советовать
creak / creek,/kriːk/,скрип / ручей
dear / deer,/dɪə/,дорогой / олень
die / dye,/daɪ/,умирать / краска
doe / dough,/dəʊ/,самка оленя / тесто
draft / draught,/drɑːft/,черновик / сквозняк
dual / duel,/ˈdjuːəl/,двойной / дуэль
feat / feet,/fiːt/,подвиг / ноги
find / fined,/faɪnd/,находить / оштрафованный
fir / fur,/fɜː/,ель / мех
flea / flee,/fliː/,блоха / бежать
gene / jean,/dʒiːn/,ген / джинсовая ткань
gilt / guilt,/ɡɪlt/,позолота / вина
grease / Greece,/ɡriːs/,жир / Греция
hall / haul,/hɔːl/,зал / тащить
hangar / hanger,/ˈhæŋə/,ангар / вешалка
hay / hey,/heɪ/,сено / эй
knead / need,/niːd/,месить / нуждаться
knew / new,/njuː/,знал / новый
lead / led,/led/,свинец / вёл
leak / leek,/liːk/,течь / лук-порей
lessen / lesson,/ˈlesən/,уменьшать / урок
liar / lyre,/ˈlaɪə/,лжец / лира
links / lynx,/lɪŋks/,звенья / рысь
loan / lone,/ləʊn/,заём / одинокий
maze / maize,/meɪz/,лабиринт / кукуруза
miner / minor,/ˈmaɪnə/,шахтёр / несовершеннолетний
muscle / mussel,/ˈmʌsəl/,мышца / мидия
naval / navel,/ˈneɪvəl/,военно-морской / пупок
pedal / peddle,/ˈpedəl/,педаль / торговать вразнос
place / plaice,/pleɪs/,место / камбала
rose / rows,/rəʊz/,роза / ряды
sauce / source,/sɔːs/,соус / источник
