English,Transcription,Русский
# ─────────── A1 · ГЛАГОЛЫ В ПРЕДЛОЖЕНИЯХ ───────────
I live in a small town,/aɪ lɪv ɪn ə smɔːl taʊn/,я живу в маленьком городе
I get up at seven,/aɪ ɡet ʌp ət ˈsevən/,я встаю в семь
I brush my teeth,/aɪ brʌʃ maɪ tiːθ/,я чищу зубы
I make my bed,/aɪ meɪk maɪ bed/,я заправляю кровать
I have breakfast,/aɪ hæv ˈbrekfəst/,я завтракаю
I go to work,/aɪ ɡəʊ tuː wɜːk/,я иду на работу
I take the bus,/aɪ teɪk ðə bʌs/,я езжу на автобусе
I work in an office,/aɪ wɜːk ɪn ən ˈɒfɪs/,я работаю в офисе
I drink coffee in the morning,/aɪ drɪŋk ˈkɒfi ɪn ðə ˈmɔːnɪŋ/,я пью кофе утром
I read the news,/aɪ riːd ðə njuːz/,я читаю новости
I check my phone,/aɪ tʃek maɪ fəʊn/,я проверяю телефон
I write emails,/aɪ raɪt ˈiːmeɪlz/,я пишу письма
I eat lunch at noon,/aɪ iːt lʌntʃ ət nuːn/,я обедаю в полдень
I walk in the park,/aɪ wɔːk ɪn ðə pɑːk/,я гуляю в парке
I call my mum,/aɪ kɔːl maɪ mʌm/,я звоню маме
I cook dinner,/aɪ kʊk ˈdɪnə/,я готовлю ужин
I wash the dishes,/aɪ wɒʃ ðə ˈdɪʃɪz/,я мою посуду
I clean the house,/aɪ kliːn ðə haʊs/,я убираю дом
I watch a film,/aɪ wɒtʃ ə fɪlm/,я смотрю фильм
I listen to music,/aɪ ˈlɪsən tuː ˈmjuːzɪk/,я слушаю музыку
I play with my kids,/aɪ pleɪ wɪð maɪ kɪdz/,я играю с детьми
I feed the cat,/aɪ fiːd ðə kæt/,я кормлю кошку
I water the plants,/aɪ ˈwɔːtə ðə plɑːnts/,я поливаю растения
I go shopping,/aɪ ɡəʊ ˈʃɒpɪŋ/,я хожу за покупками
I pay for the food,/aɪ peɪ fɔː ðə fuːd/,я плачу за еду
I open the window,/aɪ ˈəʊpən ðə ˈwɪndəʊ/,я открываю окно
I close the door,/aɪ kləʊz ðə dɔː/,я закрываю дверь
I turn on the light,/aɪ tɜːn ɒn ðə laɪt/,я включаю свет
I turn off the TV,/aɪ tɜːn ɒf ðə ˌtiːˈviː/,я выключаю телевизор
I take a shower,/aɪ teɪk ə ˈʃaʊə/,я принимаю душ
I go to bed at eleven,/aɪ ɡəʊ tuː bed ət ɪˈlevən/,я ложусь спать в одиннадцать
I sleep eight hours,/aɪ sliːp eɪt ˈaʊəz/,я сплю восемь часов
I learn English every day,/aɪ lɜːn ˈɪŋɡlɪʃ ˈevri deɪ/,я учу английский каждый день
I study in the evening,/aɪ ˈstʌdi ɪn ðiː ˈiːvnɪŋ/,я занимаюсь вечером
I help my friend,/aɪ help maɪ frend/,я помогаю другу
I meet my friends,/aɪ miːt maɪ frendz/,я встречаюсь с друзьями
I like tea,/aɪ laɪk tiː/,я люблю чай
I want to rest,/aɪ wɒnt tuː rest/,я хочу отдохнуть
I need some help,/aɪ niːd sʌm help/,мне нужна помощь
I understand you,/aɪ ˌʌndəˈstænd juː/,я тебя понимаю
I know the answer,/aɪ nəʊ ðiː ˈɑːnsə/,я знаю ответ
I remember your name,/aɪ rɪˈmembə jɔː neɪm/,я помню твоё имя
I love my family,/aɪ lʌv maɪ ˈfæməli/,я люблю свою семью
I speak a little English,/aɪ spiːk ə ˈlɪtəl ˈɪŋɡlɪʃ/,я немного говорю по-английски
I drive to work,/aɪ draɪv tuː wɜːk/,я езжу на работу на машине
I run in the morning,/aɪ rʌn ɪn ðə ˈmɔːnɪŋ/,я бегаю по утрам
I sit on the sofa,/aɪ sɪt ɒn ðə ˈsəʊfə/,я сижу на диване
I wear a warm coat,/aɪ weə ə wɔːm kəʊt/,я ношу тёплое пальто
I wait for the bus,/aɪ weɪt fɔː ðə bʌs/,я жду автобус
I buy fresh bread,/aɪ baɪ freʃ bred/,я покупаю свежий хлеб
I look for my keys,/aɪ lʊk fɔː maɪ kiːz/,я ищу свои ключи
