English,Transcription,Русский
# ─────────── B1 · СЛОВА ИЗ ПЕСЕН (СТИЛЬ SUPERNATURAL, свои примеры) ───────────
The wayward hunter never stayed long,/ðə ˈweɪwəd ˈhʌntə ˈnevə steɪd lɒŋ/,Своенравный охотник нигде не задерживался
After the hunt he felt weary,/ˈɑːftə ðə hʌnt hiː felt ˈwɪəri/,После охоты он чувствовал себя измотанным
There was confusion after the fight,/ðeə wɒz kənˈfjuːʒən ˈɑːftə ðə faɪt/,После драки была неразбериха
The demon created an illusion,/ðə ˈdiːmən kriˈeɪtɪd ən ɪˈluːʒən/,Демон создал иллюзию
I caught a glimpse of the ghost,/aɪ kɔːt ə ɡlɪmps ɒv ðə ɡəʊst/,Я мельком увидел призрака
Eagles soar above the mountains,/ˈiːɡəlz sɔːr əˈbʌv ðə ˈmaʊntɪnz/,Орлы парят над горами
Fear made him blind to the truth,/fɪə meɪd hɪm blaɪnd tuː ðə truːθ/,Страх ослепил его к правде
Everyone thought she was mad,/ˈevriwʌn θɔːt ʃiː wɒz mæd/,Все считали её безумной
The killer lived behind a masquerade,/ðə ˈkɪlə lɪvd bɪˈhaɪnd ə ˌmæskəˈreɪd/,Убийца жил за маской притворства
Their friendship was just a charade,/ðeə ˈfrendʃɪp wɒz dʒʌst ə ʃəˈrɑːd/,Их дружба была лишь притворством
It was a stormy night in the forest,/ɪt wɒz ə ˈstɔːmi naɪt ɪn ðə ˈfɒrɪst/,Была бурная ночь в лесу
He hid his emotion well,/hiː hɪd hɪz ɪˈməʊʃən wel/,Он хорошо скрывал свои эмоции
The waves tossed the small boat,/ðə weɪvz tɒst ðə smɔːl bəʊt/,Волны швыряли маленькую лодку
We set a course for the old house,/wiː set ə kɔːs fɔː ðiː əʊld haʊs/,Мы взяли курс к старому дому
Good fortune saved them that night,/ɡʊd ˈfɔːtʃən seɪvd ðəm ðæt naɪt/,Удача спасла их той ночью
The castle was full of splendour,/ðə ˈkɑːsəl wɒz fʊl ɒv ˈsplendə/,Замок был полон великолепия
His vanity was his weakness,/hɪz ˈvænəti wɒz hɪz ˈwiːknəs/,Его тщеславие было его слабостью
They believed heaven was waiting,/ðeɪ bɪˈliːvd ˈhevən wɒz ˈweɪtɪŋ/,Они верили, что их ждут небеса
At last he found peace,/ət lɑːst hiː faʊnd piːs/,Наконец он обрёл покой
You should rest before the journey,/juː ʃʊd rest bɪˈfɔː ðə ˈdʒɜːni/,Тебе стоит отдохнуть перед дорогой
A wise man listens more than he speaks,/ə waɪz mæn ˈlɪsənz mɔː ðæn hiː spiːks/,Мудрец слушает больше, чем говорит
There is a reason for everything,/ðeər ɪz ə ˈriːzən fɔːr ˈevriθɪŋ/,Всему есть причина
The sun will rise again,/ðə sʌn wɪl raɪz əˈɡen/,Солнце снова взойдёт
Don't confuse kindness with weakness,/dəʊnt kənˈfjuːz ˈkaɪndnəs wɪð ˈwiːknəs/,Не путай доброту со слабостью
Carry on with your work,/ˈkæri ɒn wɪð jɔː wɜːk/,Продолжай свою работу
He rose above his fear,/hiː rəʊz əˈbʌv hɪz fɪə/,Он поднялся над своим страхом
