English,Transcription,Русский
# ─────────── A2 · НАРЕЧИЯ ВРЕМЕНИ ───────────
I've already eaten,/aɪv ɔːlˈredi ˈiːtən/,я уже поел(а)
Have you finished yet?,/hæv juː ˈfɪnɪʃt jet/,ты уже закончил?
I still don't know,/aɪ stɪl dəʊnt nəʊ/,я всё ещё не знаю
recently,/ˈriːsəntli/,недавно
I've been busy lately,/aɪv bɪn ˈbɪzi ˈleɪtli/,в последнее время я занят(а)
nowadays,/ˈnaʊədeɪz/,в наши дни
currently,/ˈkʌrəntli/,в настоящее время
immediately,/ɪˈmiːdiətli/,немедленно
eventually,/ɪˈventʃuəli/,в конце концов
meanwhile,/ˈmiːnwaɪl/,тем временем
afterwards,/ˈɑːftəwədz/,потом / после
at once,/ət wʌns/,сразу же
from time to time,/frɒm taɪm tuː taɪm/,время от времени
these days,/ðiːz deɪz/,в эти дни
for a while,/fɔːr ə waɪl/,на некоторое время
sooner or later,/ˈsuːnər ɔː ˈleɪtə/,рано или поздно
the other day,/ðiː ˈʌðə deɪ/,на днях
all of a sudden,/ˈɔːl ɒv ə ˈsʌdən/,внезапно
in the meantime,/ɪn ðə ˈmiːntaɪm/,тем временем
once in a while,/wʌns ɪn ə waɪl/,изредка
# ─────────── A2 · АБСТРАКЦИИ ───────────
freedom,/ˈfriːdəm/,свобода
truth,/truːθ/,правда
hope,/həʊp/,надежда
fear,/fɪə/,страх
success,/səkˈses/,успех
failure,/ˈfeɪljə/,неудача
opportunity,/ˌɒpəˈtjuːnəti/,возможность
experience,/ɪkˈspɪəriəns/,опыт
knowledge,/ˈnɒlɪdʒ/,знание
advice,/ədˈvaɪs/,совет
decision,/dɪˈsɪʒən/,решение
reason,/ˈriːzən/,причина
meaning,/ˈmiːnɪŋ/,смысл / значение
purpose,/ˈpɜːpəs/,цель / назначение
choice,/tʃɔɪs/,выбор
mistake,/mɪˈsteɪk/,ошибка
chance,/tʃɑːns/,шанс
mood,/muːd/,настроение
memory,/ˈmeməri/,память / воспоминание
opinion,/əˈpɪnjən/,мнение
doubt,/daʊt/,сомнение
trust,/trʌst/,доверие
patience,/ˈpeɪʃəns/,терпение
courage,/ˈkʌrɪdʒ/,смелость
luck,/lʌk/,удача
effort,/ˈefət/,усилие
habit,/ˈhæbɪt/,привычка
goal,/ɡəʊl/,цель
strength,/streŋθ/,сила
weakness,/ˈwiːknəs/,слабость
# ─────────── A2 · ОПРАВДАНИЯ И ОБСТОЯТЕЛЬСТВА ───────────
Sorry I'm late,/ˈsɒri aɪm leɪt/,извини, я опоздал(а)
I was stuck in traffic,/aɪ wɒz stʌk ɪn ˈtræfɪk/,я застрял(а) в пробке
I overslept,/aɪ ˌəʊvəˈslept/,я проспал(а)
My phone died,/maɪ fəʊn daɪd/,у меня сел телефон
I didn't have time,/aɪ ˈdɪdənt hæv taɪm/,у меня не было времени
Something came up,/ˈsʌmθɪŋ keɪm ʌp/,кое-что случилось
I wasn't feeling well,/aɪ ˈwɒzənt ˈfiːlɪŋ wel/,я плохо себя чувствовал(а)
It's not my fault,/ɪts nɒt maɪ fɔːlt/,это не моя вина
I didn't mean to,/aɪ ˈdɪdənt miːn tuː/,я не специально
I lost track of time,/aɪ lɒst træk ɒv taɪm/,я потерял(а) счёт времени
It won't happen again,/ɪt wəʊnt ˈhæpən əˈɡen/,это больше не повторится
I had no choice,/aɪ hæd nəʊ tʃɔɪs/,у меня не было выбора
I couldn't help it,/aɪ ˈkʊdənt help ɪt/,я ничего не мог(ла) поделать
There was a misunderstanding,/ðeə wɒz ə ˌmɪsʌndəˈstændɪŋ/,произошло недоразумение
I'll make it up to you,/aɪl meɪk ɪt ʌp tuː juː/,я это исправлю / заглажу вину
