English,Transcription,Русский
# ─────────── B1 · ОБЩЕСТВО И ЗАКОН ───────────
society,/səˈsaɪəti/,общество
government,/ˈɡʌvənmənt/,правительство
law,/lɔː/,закон
justice,/ˈdʒʌstɪs/,правосудие
crime,/kraɪm/,преступление
criminal,/ˈkrɪmɪnəl/,преступник
punishment,/ˈpʌnɪʃmənt/,наказание
court,/kɔːt/,суд
judge,/dʒʌdʒ/,судья
witness,/ˈwɪtnəs/,свидетель
evidence,/ˈevɪdəns/,доказательства
rule,/ruːl/,правило
permission,/pəˈmɪʃən/,разрешение
citizen,/ˈsɪtɪzən/,гражданин
election,/ɪˈlekʃən/,выборы
protest,/ˈprəʊtest/,протест
community,/kəˈmjuːnəti/,сообщество
population,/ˌpɒpjuˈleɪʃən/,население
right,/raɪt/,право
# ─────────── B1 · АБСТРАКТНЫЕ ПОНЯТИЯ ───────────
responsibility,/rɪˌspɒnsəˈbɪləti/,ответственность
duty,/ˈdjuːti/,долг / обязанность
benefit,/ˈbenɪfɪt/,польза / выгода
advantage,/ədˈvɑːntɪdʒ/,преимущество
disadvantage,/ˌdɪsədˈvɑːntɪdʒ/,недостаток
quality,/ˈkwɒləti/,качество
quantity,/ˈkwɒntəti/,количество
amount,/əˈmaʊnt/,количество / сумма
majority,/məˈdʒɒrəti/,большинство
minority,/maɪˈnɒrəti/,меньшинство
situation,/ˌsɪtʃuˈeɪʃən/,ситуация
condition,/kənˈdɪʃən/,условие / состояние
circumstance,/ˈsɜːkəmstəns/,обстоятельство
consequence,/ˈkɒnsɪkwəns/,последствие
effect,/ɪˈfekt/,эффект / влияние
cause,/kɔːz/,причина
influence,/ˈɪnfluəns/,влияние
pressure,/ˈpreʃə/,давление
balance,/ˈbæləns/,баланс
progress,/ˈprəʊɡres/,прогресс
# ─────────── B1 · ИДЕИ И МЫШЛЕНИЕ ───────────
development,/dɪˈveləpmənt/,развитие
growth,/ɡrəʊθ/,рост
improvement,/ɪmˈpruːvmənt/,улучшение
solution,/səˈluːʃən/,решение
issue,/ˈɪʃuː/,вопрос / проблема
matter,/ˈmætə/,дело / вопрос
fact,/fækt/,факт
detail,/ˈdiːteɪl/,деталь
example,/ɪɡˈzɑːmpəl/,пример
method,/ˈmeθəd/,метод
process,/ˈprəʊses/,процесс
system,/ˈsɪstəm/,система
feature,/ˈfiːtʃə/,особенность
aspect,/ˈæspekt/,аспект
factor,/ˈfæktə/,фактор
# ─────────── B1 · РАБОТА И ДЕНЬГИ ───────────
career,/kəˈrɪə/,карьера
income,/ˈɪnkʌm/,доход
expense,/ɪkˈspens/,расход
budget,/ˈbʌdʒɪt/,бюджет
debt,/det/,долг
tax,/tæks/,налог
profit,/ˈprɒfɪt/,прибыль
loss,/lɒs/,убыток / потеря
wealth,/welθ/,богатство
poverty,/ˈpɒvəti/,бедность
employer,/ɪmˈplɔɪə/,работодатель
employee,/ˌemplɔɪˈiː/,сотрудник
deadline,/ˈdedlaɪn/,крайний срок
contract,/ˈkɒntrækt/,контракт
application,/ˌæplɪˈkeɪʃən/,заявка / заявление
interview,/ˈɪntəvjuː/,собеседование
promotion,/prəˈməʊʃən/,повышение
customer,/ˈkʌstəmə/,клиент
staff,/stɑːf/,персонал
wage,/weɪdʒ/,зарплата (почасовая)
# ─────────── B1 · ОБЩЕНИЕ И МЕДИА ───────────
communication,/kəˌmjuːnɪˈkeɪʃən/,общение
conversation,/ˌkɒnvəˈseɪʃən/,разговор
discussion,/dɪˈskʌʃən/,обсуждение
argument,/ˈɑːɡjumənt/,спор / аргумент
agreement,/əˈɡriːmənt/,соглашение
announcement,/əˈnaʊnsmənt/,объявление
advertisement,/ədˈvɜːtɪsmənt/,реклама
information,/ˌɪnfəˈmeɪʃən/,информация
media,/ˈmiːdiə/,СМИ
article,/ˈɑːtɪkəl/,статья
source,/sɔːs/,источник
speech,/spiːtʃ/,речь
comment,/ˈkɒment/,комментарий
report,/rɪˈpɔːt/,отчёт / репортаж
# ─────────── B1 · ОБРАЗОВАНИЕ ───────────
education,/ˌedʒuˈkeɪʃən/,образование
degree,/dɪˈɡriː/,учёная степень / диплом
subject,/ˈsʌbdʒɪkt/,предмет
lecture,/ˈlektʃə/,лекция
exam,/ɪɡˈzæm/,экзамен
result,/rɪˈzʌlt/,результат
grade,/ɡreɪd/,оценка
skill,/skɪl/,навык
talent,/ˈtælənt/,талант
university,/ˌjuːnɪˈvɜːsəti/,университет
research,/rɪˈsɜːtʃ/,исследование
# ─────────── B1 · ЧУВСТВА И ОТНОШЕНИЯ ───────────
relationship,/rɪˈleɪʃənʃɪp/,отношения
friendship,/ˈfrendʃɪp/,дружба
marriage,/ˈmærɪdʒ/,брак
divorce,/dɪˈvɔːs/,развод
jealousy,/ˈdʒeləsi/,ревность
loneliness,/ˈləʊnlinəs/,одиночество
happiness,/ˈhæpinəs/,счастье
sadness,/ˈsædnəs/,грусть
pride,/praɪd/,гордость
