English,Transcription,Русский
# ─────────── ГЛАГОЛЫ В КОЛЛОКАЦИЯХ (VERBS IN CONTEXT) ───────────
to be ready,/tuː biː ˈredi/,быть готовым
to have breakfast,/tuː hæv ˈbrekfəst/,завтракать
to do homework,/tuː duː ˈhəʊmwɜːk/,делать домашнее задание
to go home,/tuː ɡəʊ həʊm/,идти домой
to get a message,/tuː ɡet ə ˈmesɪdʒ/,получить сообщение
to make coffee,/tuː meɪk ˈkɒfi/,готовить кофе
to say yes,/tuː seɪ jes/,сказать да
to know the answer,/tuː nəʊ ðiː ˈɑːnsər/,знать ответ
to think about it,/tuː θɪŋk əˈbaʊt ɪt/,думать об этом
to see a film,/tuː siː ə fɪlm/,посмотреть фильм
to come home,/tuː kʌm həʊm/,приходить домой
to take a bus,/tuː teɪk ə bʌs/,сесть на автобус
to give a gift,/tuː ɡɪv ə ɡɪft/,дарить подарок
to find a job,/tuː faɪnd ə dʒɒb/,найти работу
to tell a story,/tuː tel ə ˈstɔːri/,рассказать историю
to feel tired,/tuː fiːl ˈtaɪəd/,чувствовать усталость
to want more,/tuː wɒnt mɔːr/,хотеть больше
to need help,/tuː niːd help/,нуждаться в помощи
to like coffee,/tuː laɪk ˈkɒfi/,любить кофе
to love someone,/tuː lʌv ˈsʌmwʌn/,любить кого-то
to watch a film,/tuː wɒtʃ ə fɪlm/,смотреть фильм
to play a game,/tuː pleɪ ə ɡeɪm/,играть в игру
to live in a city,/tuː lɪv ɪn ə ˈsɪti/,жить в городе
to work hard,/tuː wɜːk hɑːd/,усердно работать
to eat breakfast,/tuː iːt ˈbrekfəst/,завтракать
to drink water,/tuː drɪŋk ˈwɔːtər/,пить воду
to sleep well,/tuː sliːp wel/,хорошо спать
to speak English,/tuː spiːk ˈɪŋɡlɪʃ/,говорить по-английски
to read a book,/tuː riːd ə bʊk/,читать книгу
to write a letter,/tuː raɪt ə ˈletər/,писать письмо
to buy food,/tuː baɪ fuːd/,покупать еду
to pay the bill,/tuː peɪ ðə bɪl/,оплатить счёт
to sell a car,/tuː sel ə kɑːr/,продать машину
to run fast,/tuː rʌn fɑːst/,быстро бежать
to walk home,/tuː wɔːk həʊm/,идти домой пешком
